id,name,position,team,preseason_rank,current_rank,GP,G,A,+/-,PIM,SOG,FW,HIT
6390,Jared McCann,"C,LW",Pit,261,220,52,11,15,5,20,111,201,63
5405,Boone Jenner,"C,LW",Cls,224,221,53,9,14,2,30,126,444,94
3980,Jordan Staal,C,Car,211,222,52,9,15,2,29,103,533,116
6539,Kevin Labanc,"LW,RW",SJ,268,223,56,12,20,-5,29,128,3,37
5238,Adam Henrique,"C,LW",Anh,257,224,56,16,17,-1,16,104,394,56
3928,Carl Soderberg,"C,LW",Chi,259,226,51,12,13,3,16,95,209,55
4979,Nick Bjugstad,"C,RW",Min,249,227,51,10,12,4,24,111,153,81
5377,Joel Armia,RW,Mon,230,228,44,10,10,2,20,107,4,104
4491,Erik Karlsson,D,SJ,108,229,50,5,31,-5,20,114,0,29
6330,Yanni Gourde,"LW,RW",TB,258,230,56,14,20,3,38,87,82,58
4023,Paul Stastny,C,Wpg,208,231,53,12,18,5,22,97,471,41
7112,Jesse Puljujarvi,RW,Edm,269,232,53,13,15,-6,18,148,7,54
6785,Erik Cernak,D,TB,227,233,52,3,7,12,44,92,0,141
3342,Eric Staal,C,Buf,181,234,56,14,22,-3,24,114,422,22
7516,Nico Hischier,C,NJ,155,235,49,12,22,-3,15,113,396,39
5232,Jared Spurgeon,D,Min,255,236,52,10,19,1,14,96,0,52
6756,Jake DeBrusk,"LW,RW",Bos,265,237,49,15,12,4,14,117,7,30
4965,Nino Niederreiter,"LW,RW",Car,275,238,54,14,17,-1,27,103,6,48
7525,Owen Tippett,RW,Fla,341,240,54,10,10,14,29,107,95,59
5343,Jakob Silfverberg,RW,Anh,302,241,51,16,14,2,15,114,8,24
6770,Anthony Beauvillier,LW,NYI,235,242,54,15,16,-3,12,111,13,66
6060,Anthony Duclair,"LW,RW",Fla,270,243,51,16,12,-2,11,135,2,37
8262,Ilya Mikheyev,LW,Tor,285,244,52,10,20,6,7,129,4,35
5411,Brandon Saad,"LW,RW",Col,239,245,54,16,15,1,10,131,23,32
6754,Denis Gurianov,"LW,RW",Dal,195,246,56,15,7,3,11,112,0,55
6707,Frank Vatrano,"LW,RW",Fla,244,247,54,14,14,-6,24,129,10,82
6035,Artturi Lehkonen,"LW,RW",Mon,260,248,56,10,12,5,20,114,9,88
4020,Alexander Edler,D,Van,272,249,46,4,19,5,44,90,0,88
5765,Esa Lindell,D,Dal,284,251,56,5,16,8,18,91,0,75
